Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07,Հաշվետվության ձևավորման ամսաթիվը / 2025-12-07
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /,Աշակերտներ / Դպրոց ընդունվելու տարեթիվ-սկիզբ / 2025  /
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ
Ընդամենը,Ընդամենը,Ընդամենը,18763
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,12
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,9
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,5
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,1
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,7
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,4
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,2
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,3
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",25
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",9
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",29
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,7
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,44
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,4
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,3
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,39
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,3
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,22
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,1
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,15
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,8
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,1
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,1
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,6
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,11
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,9
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,4
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,14
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,4
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,10
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,29
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,2
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,26
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,7
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,1
Լոռի,Գուգարք / Ազնվաձոր,գ. Ազնվաձորի մ/դ,2
Արագածոտն,Ալագյազ / Ալագյազ,գ. Ալագյազի մ/դ,7
Կոտայք,Հրազդան / Ալափարս,գ. Ալափարսի մ/դ,18
Սյունիք,Մեղրի / Ալվանք,գ. Ալվանքի մ/դ,2
Շիրակ,Ամասիա / Ալվար,գ. Ալվարի մ/դ,1
Սյունիք,Սիսիան / Ախլաթյան,գ. Ախլաթյանի մ/դ,3
Շիրակ,Ախուրյան / Ախուրիկ,գ. Ախուրիկի մ/դ,4
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 1 հմ/դ,22
Շիրակ,Ախուրյան / Ախուրյան,գ. Ախուրյանի թիվ 2 հմ/դ,20
Գեղարքունիք,Վարդենիս / Ախպրաձոր,գ. Ախպրաձորի մ/դ,3
Արմավիր,Վաղարշապատ / Ակնալիճ,գ. Ակնալճի Ա.Հարությունյանի անվ. մ/դ,17
Տավուշ,Իջևան / Ակնաղբյուր,գ. Ակնաղբյուրի հմ/դ,3
Սյունիք,Գորիս / Ակներ,գ. Ակների Գ․Խաչատրյանի անվ․ մ/դ,5
Արագածոտն,Թալին / Ակունք,գ. Ակունքի մ/դ,3
Գեղարքունիք,Վարդենիս / Ակունք,գ. Ակունքի մ/դ,18
Կոտայք,Աբովյան / Ակունք,գ. Ակունքի մ/դ,16
Վայոց Ձոր,Եղեգնաձոր / Աղավնաձոր,գ. Աղավնաձորի Գ. Գրիգորյանի անվան մ/դ,8
Կոտայք,Հրազդան / Աղավնաձոր,գ. Աղավնաձորի Զ.Դանիելյանի անվ. մ/դ,8
Տավուշ,Դիլիջան / Աղավնավանք,գ. Աղավնավանքի մ/դ,1
Արմավիր,Վաղարշապատ / Աղավնատուն,գ. Աղավնատան Ղ.Աբգարյանի անվ. մ/դ,25
Գեղարքունիք,Ճամբարակ / Աղբերք,գ. Աղբերքի մ/դ,4
Շիրակ,Անի / Աղին,գ. Աղինի մ/դ,2
Արագածոտն,Աշտարակ / Աղձք,գ. Աղձքի մ/դ,8
Վայոց Ձոր,Եղեգնաձոր / Աղնջաձոր,գ. Աղնջաձորի մ/դ,4
Շիրակ,Ամասիա / Աղվորիկ,գ. Աղվորիկի հմ/դ,1
Սյունիք,Կապան / Աճանան,գ. Աճանանի մ/դ,2
Շիրակ,Ամասիա / Ամասիա,գ. Ամասիայի մ/դ,9
Արմավիր,Վաղարշապատ / Ամբերդ,գ. Ամբերդի Հ.Նավասարդյանի անվ. մ/դ,8
Լոռի,Գյուլագարակ / Ամրակից,գ. Ամրակիցի մ/դ,4
Շիրակ,Ախուրյան / Այգաբաց,գ. Այգաբացի մ/դ,5
Արարատ,Արարատ / Այգավան,գ. Այգավանի մ/դ,25
Արարատ,Արտաշատ / Այգեզարդ,գ. Այգեզարդի Ա.Ղարիբյանի անվ. մ/դ,24
Արմավիր,Վաղարշապատ / Այգեկ,գ. Այգեկի Մուշեղ Մովսիսյանի անվ. մ/դ,8
Տավուշ,Իջևան / Այգեհովիտ,գ. Այգեհովիտի մ/դ,20
Տավուշ,Տավուշ / Այգեձոր,գ. Այգեձորի մ/դ,6
Արմավիր,Վաղարշապատ / Այգեշատ,գ. Այգեշատի մ/դ,11
Արմավիր,Արմավիր / Այգեշատ,գ. Այգեշատի Յու.Հովհաննիսյանի անվ. մ/դ,10
Արարատ,Արտաշատ / Այգեպատ,գ. Այգեպատի մ/դ,4
Արարատ,Արտաշատ / Այգեստան,գ. Այգեստանի մ/դ,15
