Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Որ երկրից է / Ռուսաստան,Որ երկրից է / ԱՄՆ,Որ երկրից է / Հայաստան,Որ երկրից է / Արցախ,Որ երկրից է / Ուկրաինա,Որ երկրից է / Ֆրանսիա
Ընդամենը,Ընդամենը,Ընդամենը,200828,2233,90,190792,7599,96,18
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,148,4,- չունի -,132,12,- չունի -,- չունի -
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,112,1,- չունի -,108,3,- չունի -,- չունի -
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,61,- չունի -,- չունի -,61,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,27,- չունի -,- չունի -,27,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,125,- չունի -,- չունի -,124,1,- չունի -,- չունի -
Շիրակ,Գյումրի / Գյումրի,Շիրակի Մ.Նալբանդյանի անվ. պետ.համալսարան հիմնադրամի ա/դ,59,- չունի -,- չունի -,58,- չունի -,1,- չունի -
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,38,- չունի -,- չունի -,37,1,- չունի -,- չունի -
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,12,- չունի -,- չունի -,12,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,70,- չունի -,- չունի -,69,1,- չունի -,- չունի -
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",415,3,- չունի -,384,28,- չունի -,- չունի -
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",38,4,- չունի -,34,- չունի -,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",122,- չունի -,1,120,- չունի -,- չունի -,1
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,72,2,1,69,- չունի -,- չունի -,- չունի -
Երևան,Երևան / Էրեբունի,«Ա․ Ֆրանսի անվ․ ֆրանսիական կրթ.»,23,- չունի -,- չունի -,23,- չունի -,- չունի -,- չունի -
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,454,17,5,427,5,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,«Երևանի պետական համալսարան» հիմնադրամի ՍԹԵՄ դպրոց,57,1,- չունի -,54,2,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,«Էսոլարմ» ՍՊԸ,17,- չունի -,- չունի -,15,2,- չունի -,- չունի -
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,67,- չունի -,- չունի -,64,3,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,66,- չունի -,1,65,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Հառիճ,«Հառիճավանքի Թրբանճյան Ընծայարան» ա/դ,22,1,- չունի -,21,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,178,- չունի -,- չունի -,170,8,- չունի -,- չունի -
Տավուշ,Դիլիջան / Դիլիջան,«Մոնթե Մելքոնյանի» անվ․ ռազմամարզական վարժարան,204,3,- չունի -,195,6,- չունի -,- չունի -
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,658,8,9,590,51,- չունի -,- չունի -
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,53,- չունի -,- չունի -,51,2,- չունի -,- չունի -
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,19,1,- չունի -,18,- չունի -,- չունի -,- չունի -
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,553,4,- չունի -,547,2,- չունի -,- չունի -
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,185,- չունի -,- չունի -,145,40,- չունի -,- չունի -
Երևան,Երևան / Էրեբունի,"Ազատազրկման ձևով պատիժ կրող, կալանավորված անձանց հտ մ/դ",12,- չունի -,- չունի -,10,2,- չունի -,- չունի -
Արագածոտն,Արագած / Ավշեն,Ավշենի Մաքսիմ Խամոյանի անվան հիմնական դպրոց,21,- չունի -,- չունի -,21,- չունի -,- չունի -,- չունի -
Կոտայք,Չարենցավան / Արզական,Արամ Մանուկյանի անվան մարզառազմական մասնագիտացված դպրոց,50,3,- չունի -,46,1,- չունի -,- չունի -
Շիրակ,Գյումրի / Գյումրի,Արարատ կրթահամալիր,48,- չունի -,- չունի -,48,- չունի -,- չունի -,- չունի -
Արմավիր,Արմավիր / Արտաշար,Արտաշարի մ/դ,71,- չունի -,- չունի -,70,1,- չունի -,- չունի -
Երևան,Երևան / Էրեբունի,Ա․ Իսահակյանի անվան 16 ավագ,209,5,- չունի -,192,11,1,- չունի -
Լոռի,Գուգարք / Բազում,Բազումի Մարշալ Բաղրամյանի անվ. հմ/դ,20,- չունի -,- չունի -,18,2,- չունի -,- չունի -
Լոռի,Ալավերդի / Մեծ Այրում,գ Մեծ Այրումի մ/դ,47,- չունի -,- չունի -,47,- չունի -,- չունի -,- չունի -
Արարատ,Արտաշատ / Աբովյան,գ. Աբովյանի մ/դ,108,- չունի -,- չունի -,106,2,- չունի -,- չունի -
Վայոց Ձոր,Եղեգնաձոր / Ագարակաձոր,գ. Ագարակաձորի Յու. Խաչատրյանի անվան մ/դ,85,- չունի -,- չունի -,79,6,- չունի -,- չունի -
Արագածոտն,Թալին / Ագարակավան,գ. Ագարակավանի մ/դ,53,- չունի -,- չունի -,51,2,- չունի -,- չունի -
Արագածոտն,Աշտարակ / Ագարակ,գ. Ագարակի Տ.Թերլեմեզյանի անվ. մ/դ,145,1,- չունի -,133,11,- չունի -,- չունի -
Սյունիք,Կապան / Ագարակ,գ. Ագարակի հմ/դ,3,- չունի -,- չունի -,2,1,- չունի -,- չունի -
Լոռի,Ստեփանավան / Ագարակ,գ. Ագարակի մ/դ,69,1,- չունի -,67,1,- չունի -,- չունի -
Տավուշ,Իջևան / Ազատամուտ,գ. Ազատամուտի մ/դ,235,- չունի -,- չունի -,234,1,- չունի -,- չունի -
Շիրակ,Ախուրյան / Ազատան,գ. Ազատանի մ/դ,376,1,- չունի -,374,1,- չունի -,- չունի -
Արարատ,Մասիս / Ազատաշեն,գ. Ազատաշենի հմ/դ,25,- չունի -,- չունի -,21,4,- չունի -,- չունի -
Արարատ,Արտաշատ / Ազատավան,գ. Ազատավանի մ/դ,180,- չունի -,- չունի -,173,7,- չունի -,- չունի -
Վայոց Ձոր,Վայք / Ազատեկ,գ. Ազատեկի մ/դ,45,1,- չունի -,39,5,- չունի -,- չունի -
Գեղարքունիք,Վարդենիս / Ազատ,գ. Ազատի հմ/դ,2,- չունի -,- չունի -,2,- չունի -,- չունի -,- չունի -
