Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական,Աշակերտներ / Սեռ  / Արական
Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Դասարան / 1-ին դասարան,Դասարան / 2-րդ դասարան,Դասարան / 3-րդ դասարան,Դասարան / 4-րդ դասարան,Դասարան / 5-րդ դասարան,Դասարան / 6-րդ դասարան,Դասարան / 7-րդ դասարան,Դասարան / 8-րդ դասարան,Դասարան / 9-րդ դասարան,Դասարան / 10-րդ դասարան,Դասարան / 11-րդ դասարան,Դասարան / 12-րդ դասարան
Ընդամենը,Ընդամենը,Ընդամենը,220492,18687,20711,20004,21374,21542,20952,20787,20781,20816,12099,11868,10871
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,148,10,20,14,14,16,10,10,13,15,8,11,7
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,116,9,11,14,10,12,15,7,12,8,7,9,2
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,62,5,3,5,7,3,2,5,8,9,5,5,5
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,27,1,2,1,3,4,2,5,2,2,2,3,- չունի -
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,135,7,10,10,14,17,15,8,14,17,9,6,8
Շիրակ,Գյումրի / Գյումրի,Շիրակի Մ.Նալբանդյանի անվ. պետ.համալսարան հիմնադրամի ա/դ,59,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,20,14,25
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,39,4,3,4,3,5,6,- չունի -,4,1,4,2,3
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,12,2,- չունի -,4,- չունի -,3,1,1,- չունի -,1,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,77,3,6,7,3,4,5,5,14,6,8,11,5
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",450,25,41,36,38,50,46,52,51,44,19,22,26
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",43,11,8,13,5,3,- չունի -,3,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",136,40,12,9,6,20,16,24,9,- չունի -,- չունի -,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,74,7,16,7,9,8,7,8,6,5,- չունի -,- չունի -,1
Երևան,Երևան / Էրեբունի,«Ա․ Ֆրանսի անվ․ ֆրանսիական կրթ.»,23,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,- չունի -,12,6,5
