Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected,Աշակերտներ / Որ երկրից է  / 6 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Որ երկրից է / Ռուսաստան,Որ երկրից է / ԱՄՆ,Որ երկրից է / Հայաստան,Որ երկրից է / Արցախ,Որ երկրից է / Ուկրաինա,Որ երկրից է / Ֆրանսիա
Ընդամենը,Ընդամենը,Ընդամենը,186065,2047,86,176081,7757,77,17
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,96,4,- չունի -,89,3,- չունի -,- չունի -
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,83,1,- չունի -,82,- չունի -,- չունի -,- չունի -
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,69,- չունի -,- չունի -,69,- չունի -,- չունի -,- չունի -
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,11,- չունի -,- չունի -,11,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,117,- չունի -,- չունի -,115,2,- չունի -,- չունի -
Շիրակ,Գյումրի / Գյումրի,Շիրակի Մ.Նալբանդյանի անվ. պետ.համալսարան հիմնադրամի ա/դ,96,- չունի -,- չունի -,95,1,- չունի -,- չունի -
Արագածոտն,Թալին / Շղարշիկ,Շղարշիկի Ա.Մինասյանի անվ. մ/դ,28,- չունի -,- չունի -,26,2,- չունի -,- չունի -
Լոռի,Տաշիր / Պետրովկայի,Պետրովկայի հմ/դ,9,- չունի -,- չունի -,9,- չունի -,- չունի -,- չունի -
Տավուշ,Նոյեմբերյան / Պտղավան,Պտղավանի մ/դ,58,- չունի -,- չունի -,58,- չունի -,- չունի -,- չունի -
Կոտայք,Աբովյան / Աբովյան,"""Աբովյանի կրթահամալիր"" ՊՈԱԿ",342,2,- չունի -,323,17,- չունի -,- չունի -
Երևան,Երևան / Մալաթիա,"""Դրիմ Բրիջմեն Ինթերնեյշնլ Սքուլ"" ՍՊԸ",24,1,2,21,- չունի -,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,"""Հայաստանի ազգային պոլիտեխնիկական համալսարան"" հիմնադրամի ԳՏՃՄ հմ/դ",65,- չունի -,- չունի -,64,1,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,«ԱրտՍՏԵՄ» վարժարան,46,1,- չունի -,45,- չունի -,- չունի -,- չունի -
Երևան,Երևան / Էրեբունի,«Ա․ Ֆրանսի անվ․ ֆրանսիական կրթ.»,39,1,- չունի -,35,2,- չունի -,1
Երևան,Երևան / Ավան,«Գազպրոմ Արմենիա» ՓԲԸ «Ուսումնա-սպորտային համալիր» հիմնարկի դպրոց,425,13,4,406,2,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,«Երևանի պետական համալսարան» հիմնադրամի ՍԹԵՄ դպրոց,63,- չունի -,- չունի -,61,2,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,«Էսոլարմ» ՍՊԸ,14,- չունի -,1,13,- չունի -,- չունի -,- չունի -
Գեղարքունիք,Սևան / Ծաղկունք,«Ծաղկունք բաց դպրոց» հիմնադրամ,61,- չունի -,- չունի -,59,2,- չունի -,- չունի -
Երևան,Երևան / Կենտրոն,«Կրթություն ԿՈՌՈՒ» ՍՊԸ,43,- չունի -,- չունի -,43,- չունի -,- չունի -,- չունի -
Շիրակ,Արթիկ / Հառիճ,«Հառիճավանքի Թրբանճյան Ընծայարան» ա/դ,1,- չունի -,- չունի -,- չունի -,1,- չունի -,- չունի -
Արմավիր,Արմավիր / Մեծամոր,«Մեծամորի Սաշա Գալստյանի անվան վարժարան» ՊՈԱԿ,175,- չունի -,- չունի -,164,11,- չունի -,- չունի -
Տավուշ,Դիլիջան / Դիլիջան,«Մոնթե Մելքոնյանի» անվ․ ռազմամարզական վարժարան,27,- չունի -,- չունի -,21,6,- չունի -,- չունի -
Երևան,Երևան / Նոր Նորք,«Շիրակացու ճեմարան» միջազգային գիտակրթական համալիր,722,4,7,664,45,2,- չունի -
Շիրակ,Գյումրի / Գյումրի,«Շիրակի Մ․ Նալբանդյանի անվ․ պետական համալսարան» հիմնադրամի հ/դ,54,- չունի -,- չունի -,52,2,- չունի -,- չունի -
Լոռի,Վանաձոր / Վանաձոր,«Քարհանյան դպրոց» ՍՊԸ,13,- չունի -,- չունի -,13,- չունի -,- չունի -,- չունի -
Շիրակ,Գյումրի / Գյումրի,«Ֆոտոն» վարժ.,505,- չունի -,- չունի -,499,6,- չունի -,- չունի -
Կոտայք,Աբովյան / Աբովյան,Աբովյանի Արթուր Վանոյանի անվան թիվ 6 հմ/դ,169,1,- չունի -,135,33,- չունի -,- չունի -
