Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20,Հաշվետվության ձևավորման ամսաթիվը / 2025-11-20
Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը,Օգտագործված են հետևյալ ֆիլտրերը
Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական,Աշակերտներ / Սեռ  / Իգական
Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected,Աշակերտներ / Դասարան  / 12 items selected
Մարզ,Շրջան/համայնք,Դպրոց,Աշակերտներ,Դասարան / 1-ին դասարան,Դասարան / 2-րդ դասարան,Դասարան / 3-րդ դասարան,Դասարան / 4-րդ դասարան,Դասարան / 5-րդ դասարան,Դասարան / 6-րդ դասարան,Դասարան / 7-րդ դասարան,Դասարան / 8-րդ դասարան,Դասարան / 9-րդ դասարան,Դասարան / 10-րդ դասարան,Դասարան / 11-րդ դասարան,Դասարան / 12-րդ դասարան
Ընդամենը,Ընդամենը,Ընդամենը,204378,16983,18802,18675,19244,19539,18716,18744,18384,18846,12870,12233,11342
Արմավիր,Վաղարշապատ / Ակնաշեն,Ակնաշենի մ/դ,97,4,15,7,9,7,9,9,11,7,9,4,6
Տավուշ,Իջևան / Խաշթառակ,Խաշթառակի մ/դ ՊՈԱԿ,87,7,10,7,9,10,5,6,11,9,4,7,2
Տավուշ,Իջևան / Կայանավան,Հ․Հինդլյանի անվ․ Կայանի մ/դ,71,8,6,6,4,8,4,8,3,4,10,4,6
Արագածոտն,Ապարան / Ձորագլուխ,Ձորագլխի Յու. Հովհաննիսյանի անվան միջնակարգ դպրոց,11,- չունի -,1,- չունի -,- չունի -,3,1,2,- չունի -,1,1,1,1
Շիրակ,Արթիկ / Մեծ Մանթաշ,Մեծ Մանթաշի մ/դ,127,10,11,11,13,9,6,9,13,11,13,12,9
